Tarih,Kategori,Ürün,BirimFiyat,Adet,Kanal,Şehir,Tutar
2025-07-01,İçecek,Kahve,40.17,2,Mağaza,Bursa,80.34
2025-06-26,Atıştırmalık,Sandviç,65.9,6,Online,İstanbul,395.4
2025-07-25,Yemek,Makarna,142.58,2,Online,İstanbul,285.16
2025-02-20,İçecek,Soğuk Kahve,50.36,1,Mağaza,İstanbul,50.36
2025-03-21,Tatlı,Dondurma,55.37,2,Mağaza,İstanbul,110.74
2025-01-22,Yemek,Makarna,135.55,6,Online,Ankara,813.3
2024-12-24,Tatlı,Cheesecake,88.62,5,Online,İstanbul,443.1
2025-05-03,Yemek,Burger,128.13,2,Mağaza,İzmir,256.26
2025-07-05,Atıştırmalık,Sandviç,64.84,1,Online,İstanbul,64.84
2025-06-06,İçecek,Çay,19.94,1,Mağaza,Ankara,19.94
2025-04-03,Yemek,Pizza,205.17,6,Mağaza,İstanbul,1231.02
2025-07-25,Atıştırmalık,Tost,65.98,1,Mağaza,Antalya,65.98
2025-01-10,İçecek,Limonata,32.74,2,Mağaza,Ankara,65.48
2025-05-06,İçecek,Limonata,33.57,3,Mağaza,İzmir,100.71
2024-12-15,Yemek,Salata,118.72,2,Mağaza,İzmir,237.44
2025-01-14,İçecek,Çay,22.87,2,Mağaza,İzmir,45.74
2025-02-03,Yemek,Burger,126.24,6,Mağaza,İzmir,757.44
2025-02-27,İçecek,Kahve,43.08,3,Mağaza,İstanbul,129.24
2025-02-09,Tatlı,Tiramisu,117.57,5,Online,İzmir,587.85
2024-12-09,Atıştırmalık,Muffin,43.29,3,Online,İstanbul,129.87
2025-02-26,Tatlı,Dondurma,53.8,1,Mağaza,İzmir,53.8
2025-04-08,Yemek,Makarna,119.37,5,Online,Antalya,596.85
2025-07-24,Tatlı,Dondurma,55.06,4,Mağaza,Bursa,220.24
2025-04-15,Yemek,Pizza,154.13,5,Mağaza,İstanbul,770.65
2025-07-04,İçecek,Limonata,36.09,2,Online,İstanbul,72.18
2025-02-01,İçecek,Soğuk Kahve,57.82,3,Mağaza,İstanbul,173.46
2025-04-18,Yemek,Salata,123.69,1,Mağaza,İstanbul,123.69
2025-07-31,Tatlı,Tiramisu,95.85,6,Mağaza,İstanbul,575.1
2025-02-19,İçecek,Kahve,39.18,3,Mağaza,İstanbul,117.54
2025-04-15,Atıştırmalık,Kurabiye,27.39,3,Mağaza,Antalya,82.17
2025-05-12,İçecek,Çay,18.74,3,Online,Ankara,56.22
2025-05-12,Atıştırmalık,Tost,65.16,5,Mağaza,Ankara,325.8
2025-01-02,Tatlı,Tiramisu,98.76,4,Online,Ankara,395.04
2025-04-02,Atıştırmalık,Kurabiye,25.9,4,Online,İzmir,103.6
2024-12-05,Atıştırmalık,Tost,58.09,5,Mağaza,Antalya,290.45
2025-07-22,Atıştırmalık,Tost,58.5,5,Mağaza,Ankara,292.5
2025-07-19,Atıştırmalık,Sandviç,68.97,3,Mağaza,İstanbul,206.91
2025-01-10,İçecek,Limonata,38.43,3,Mağaza,Ankara,115.29
2024-12-28,Atıştırmalık,Kurabiye,26.38,5,Mağaza,Antalya,131.9
2025-04-14,İçecek,Soğuk Kahve,58.37,2,Online,İstanbul,116.74
2025-06-19,Atıştırmalık,Sandviç,66.6,4,Online,Ankara,266.4
2025-02-10,Yemek,Salata,113.16,4,Mağaza,İstanbul,452.64
2024-12-12,Tatlı,Dondurma,67.79,6,Mağaza,İstanbul,406.74
2025-05-11,Atıştırmalık,Muffin,35.13,2,Mağaza,Bursa,70.26
2025-01-02,Yemek,Pizza,187.7,5,Mağaza,İstanbul,938.5
2025-01-17,Atıştırmalık,Kurabiye,27.98,3,Online,İstanbul,83.94
2025-04-30,Atıştırmalık,Tost,60.13,6,Online,İstanbul,360.78
2025-01-31,Atıştırmalık,Muffin,41.26,3,Mağaza,Antalya,123.78
2025-07-04,Yemek,Makarna,144.89,1,Mağaza,İstanbul,144.89
2025-01-06,Tatlı,Dondurma,66.1,6,Mağaza,İzmir,396.6
2025-03-09,Yemek,Makarna,133.21,3,Mağaza,İstanbul,399.63
2025-05-21,Tatlı,Dondurma,55.48,5,Mağaza,İzmir,277.4
2025-03-14,Atıştırmalık,Muffin,39.84,3,Mağaza,Antalya,119.52
2025-07-02,İçecek,Limonata,37.2,2,Mağaza,İstanbul,74.4
2025-07-07,Atıştırmalık,Muffin,32.42,4,Mağaza,İstanbul,129.68
2025-01-04,Tatlı,Cheesecake,93.27,4,Mağaza,İstanbul,373.08
2025-06-11,Yemek,Salata,132.36,6,Mağaza,İzmir,794.16
2025-07-15,Atıştırmalık,Kurabiye,29.91,3,Mağaza,İstanbul,89.73
2025-03-11,Yemek,Pizza,169.81,3,Mağaza,İstanbul,509.43
2025-05-24,Yemek,Pizza,200.08,3,Mağaza,İstanbul,600.24
2025-06-24,Yemek,Salata,107.61,3,Mağaza,İstanbul,322.83
2025-04-10,Atıştırmalık,Kurabiye,27.36,2,Online,İstanbul,54.72
2024-12-01,Yemek,Burger,147.87,5,Mağaza,Bursa,739.35
2024-12-05,Yemek,Makarna,124.25,2,Mağaza,Bursa,248.5
2025-07-06,Atıştırmalık,Muffin,40.43,2,Online,İstanbul,80.86
2025-04-21,Yemek,Pizza,161.52,2,Mağaza,Ankara,323.04
2025-03-13,Atıştırmalık,Sandviç,64.8,4,Online,Ankara,259.2
2024-12-27,Tatlı,Cheesecake,85.21,2,Mağaza,İzmir,170.42
2025-04-16,Tatlı,Tiramisu,124.95,3,Mağaza,Ankara,374.85
2025-06-25,Tatlı,Cheesecake,92.3,2,Mağaza,Ankara,184.6
2024-12-15,Yemek,Makarna,123.65,3,Mağaza,Ankara,370.95
2025-02-28,İçecek,Çay,17.09,1,Mağaza,İzmir,17.09
2025-01-11,İçecek,Soğuk Kahve,49.28,2,Mağaza,İstanbul,98.56
2025-04-03,Yemek,Burger,136.69,4,Online,İstanbul,546.76
2025-06-23,İçecek,Limonata,30.47,3,Mağaza,İstanbul,91.41
2025-05-28,Atıştırmalık,Muffin,38.12,6,Mağaza,Ankara,228.72
2025-02-01,İçecek,Limonata,34.53,1,Mağaza,İstanbul,34.53
2025-03-06,Yemek,Salata,129.62,4,Online,Ankara,518.48
2025-07-19,Yemek,Makarna,136.23,3,Online,İstanbul,408.69
2025-07-29,Atıştırmalık,Muffin,37.38,6,Online,İzmir,224.28
2025-01-21,Tatlı,Tiramisu,100.91,6,Mağaza,İstanbul,605.46
2025-03-06,Yemek,Salata,128.17,3,Mağaza,Ankara,384.51
2025-04-11,Atıştırmalık,Tost,63.74,3,Mağaza,Ankara,191.22
2025-07-10,İçecek,Limonata,31.36,3,Mağaza,İstanbul,94.08
2025-07-17,İçecek,Limonata,39.35,3,Online,İstanbul,118.05
2025-04-30,Atıştırmalık,Muffin,33.03,1,Online,İzmir,33.03
2025-07-19,Atıştırmalık,Tost,51.99,2,Mağaza,İstanbul,103.98
2025-07-25,Yemek,Burger,126.87,2,Mağaza,Bursa,253.74
2025-04-22,İçecek,Limonata,39.3,2,Mağaza,Bursa,78.6
2025-05-20,Atıştırmalık,Muffin,38.23,1,Mağaza,İzmir,38.23
2024-12-29,İçecek,Çay,21.73,1,Mağaza,İzmir,21.73
2025-01-05,Atıştırmalık,Sandviç,64.28,2,Mağaza,Ankara,128.56
2024-12-13,İçecek,Soğuk Kahve,54.84,2,Online,Ankara,109.68
2025-05-09,Tatlı,Tiramisu,105.32,2,Mağaza,Antalya,210.64
2025-02-09,Yemek,Salata,131.8,3,Online,İstanbul,395.4
2025-06-05,İçecek,Çay,17.14,2,Mağaza,İstanbul,34.28
2025-07-31,Tatlı,Tiramisu,101.55,6,Mağaza,İstanbul,609.3
2025-02-24,İçecek,Limonata,31.35,2,Mağaza,Ankara,62.7
2024-12-28,İçecek,Kahve,49.85,2,Mağaza,İstanbul,99.7
2025-02-04,Tatlı,Cheesecake,94.07,2,Mağaza,Bursa,188.14
2025-05-19,İçecek,Çay,19.43,3,Mağaza,İstanbul,58.29
2025-01-14,İçecek,Limonata,34.47,1,Mağaza,İzmir,34.47
2025-01-31,Yemek,Makarna,148.41,1,Online,İstanbul,148.41
2025-06-03,Tatlı,Tiramisu,121.56,2,Mağaza,İstanbul,243.12
2025-04-13,Tatlı,Tiramisu,116.81,4,Online,İstanbul,467.24
2024-12-28,Atıştırmalık,Kurabiye,28.11,6,Mağaza,İstanbul,168.66
2024-12-28,İçecek,Limonata,31.48,3,Mağaza,Ankara,94.44
2025-03-18,Yemek,Salata,135.17,4,Mağaza,Antalya,540.68
2025-01-13,İçecek,Soğuk Kahve,53.73,2,Online,İstanbul,107.46
2025-02-22,İçecek,Soğuk Kahve,51.35,2,Mağaza,Ankara,102.7
2024-12-30,Atıştırmalık,Sandviç,69.39,2,Mağaza,İstanbul,138.78
2025-06-08,İçecek,Limonata,39.39,1,Mağaza,İstanbul,39.39
2025-02-13,Yemek,Pizza,173.9,2,Mağaza,Ankara,347.8
2025-04-07,Yemek,Pizza,183.38,1,Online,İstanbul,183.38
2025-03-02,Atıştırmalık,Sandviç,76.36,4,Mağaza,Bursa,305.44
2025-07-05,İçecek,Limonata,34.23,1,Mağaza,İzmir,34.23
2025-07-19,Yemek,Pizza,165.61,5,Online,İstanbul,828.05
2025-06-08,İçecek,Kahve,51.68,1,Mağaza,Ankara,51.68
2025-07-13,İçecek,Kahve,51.16,3,Mağaza,İstanbul,153.48
2025-04-08,İçecek,Çay,22.06,1,Mağaza,İzmir,22.06
2025-03-31,Atıştırmalık,Kurabiye,31.7,1,Online,İzmir,31.7
2024-12-27,İçecek,Soğuk Kahve,51.62,1,Online,İzmir,51.62
2025-06-08,Yemek,Salata,134.88,3,Mağaza,İstanbul,404.64
2025-03-31,İçecek,Soğuk Kahve,51.3,3,Online,İstanbul,153.9
2025-03-26,Yemek,Burger,152.63,6,Mağaza,Ankara,915.78
2025-06-23,İçecek,Çay,22.51,1,Mağaza,Antalya,22.51
2025-07-21,Yemek,Makarna,134.02,5,Mağaza,Bursa,670.1
2024-12-03,Yemek,Burger,152.73,4,Mağaza,İstanbul,610.92
2025-03-13,İçecek,Limonata,38.06,1,Mağaza,İzmir,38.06
2025-06-16,İçecek,Çay,18.16,3,Online,Bursa,54.48
2025-06-18,Yemek,Makarna,136.55,6,Mağaza,İstanbul,819.3
2025-05-04,Tatlı,Dondurma,52.68,5,Online,İzmir,263.4
2025-04-16,Atıştırmalık,Tost,60.14,3,Mağaza,İstanbul,180.42
2025-01-31,Tatlı,Cheesecake,85.37,1,Mağaza,İstanbul,85.37
2025-05-14,Tatlı,Dondurma,58.49,5,Mağaza,İstanbul,292.45
2025-07-13,İçecek,Soğuk Kahve,60.49,3,Mağaza,Ankara,181.47
2025-01-20,Atıştırmalık,Muffin,43.55,6,Online,İzmir,261.3
2025-07-22,Tatlı,Cheesecake,89.81,5,Mağaza,Ankara,449.05
2025-05-21,İçecek,Limonata,35.34,3,Online,İstanbul,106.02
2025-05-01,Tatlı,Cheesecake,95.32,3,Online,İstanbul,285.96
2025-06-25,Tatlı,Tiramisu,125.0,3,Mağaza,Ankara,375.0
2025-01-28,İçecek,Soğuk Kahve,54.65,2,Mağaza,Ankara,109.3
2025-03-28,İçecek,Soğuk Kahve,58.29,3,Mağaza,Ankara,174.87
2025-05-09,İçecek,Kahve,50.69,3,Mağaza,İstanbul,152.07
2025-03-06,Atıştırmalık,Sandviç,67.34,1,Mağaza,İzmir,67.34
2025-07-04,Tatlı,Tiramisu,123.27,5,Mağaza,Bursa,616.35
2025-07-21,İçecek,Soğuk Kahve,61.89,3,Mağaza,Ankara,185.67
2025-05-29,Yemek,Burger,158.09,5,Online,İzmir,790.45
2025-03-23,Tatlı,Tiramisu,102.42,4,Mağaza,Bursa,409.68
2025-01-31,Yemek,Pizza,174.62,4,Mağaza,Ankara,698.48
2025-07-29,Atıştırmalık,Sandviç,77.78,3,Mağaza,İzmir,233.34
2025-06-04,İçecek,Soğuk Kahve,52.68,1,Online,İzmir,52.68
2025-01-21,Yemek,Salata,123.61,3,Mağaza,İstanbul,370.83
2024-12-12,Atıştırmalık,Muffin,33.65,5,Mağaza,Ankara,168.25
2025-01-08,İçecek,Çay,17.34,2,Online,İzmir,34.68
2025-04-09,Yemek,Salata,116.83,2,Online,İstanbul,233.66
2025-04-10,Yemek,Salata,122.84,6,Online,Bursa,737.04
2025-03-23,Atıştırmalık,Sandviç,67.75,6,Mağaza,Ankara,406.5
2025-03-11,İçecek,Çay,20.47,1,Online,İstanbul,20.47
2025-03-23,İçecek,Soğuk Kahve,55.25,1,Mağaza,Ankara,55.25
2025-06-02,Yemek,Pizza,190.03,2,Online,İstanbul,380.06
2025-02-19,Yemek,Burger,146.28,2,Mağaza,İzmir,292.56
2025-06-05,Yemek,Salata,117.27,4,Online,Ankara,469.08
2025-03-23,İçecek,Soğuk Kahve,53.76,2,Online,Bursa,107.52
2024-12-02,Atıştırmalık,Kurabiye,26.77,2,Mağaza,Ankara,53.54
2025-04-09,Atıştırmalık,Muffin,38.15,4,Online,İzmir,152.6
2025-07-08,İçecek,Çay,20.52,1,Mağaza,Antalya,20.52
2025-01-23,Tatlı,Tiramisu,109.22,4,Mağaza,İstanbul,436.88
2025-02-25,Atıştırmalık,Kurabiye,28.43,1,Mağaza,İzmir,28.43
2025-07-17,Yemek,Pizza,191.97,6,Online,İstanbul,1151.82
2025-07-12,Tatlı,Dondurma,52.34,6,Mağaza,İzmir,314.04
2025-07-13,Tatlı,Dondurma,67.46,3,Mağaza,Ankara,202.38
2025-04-08,Atıştırmalık,Muffin,32.54,3,Mağaza,Antalya,97.62
2025-04-26,Tatlı,Dondurma,68.32,4,Online,Bursa,273.28
2025-04-05,Tatlı,Cheesecake,93.93,3,Online,İstanbul,281.79
2025-04-09,Atıştırmalık,Kurabiye,29.21,5,Mağaza,İstanbul,146.05
2025-01-22,Atıştırmalık,Kurabiye,27.81,4,Mağaza,Ankara,111.24
2025-05-21,Tatlı,Tiramisu,93.83,2,Mağaza,Ankara,187.66
2025-07-06,Yemek,Burger,130.54,5,Mağaza,İstanbul,652.7
2025-05-09,İçecek,Limonata,30.9,2,Mağaza,İstanbul,61.8
2025-06-16,Tatlı,Tiramisu,115.27,6,Mağaza,Ankara,691.62
2025-05-09,Tatlı,Dondurma,56.74,1,Online,İstanbul,56.74
2025-02-06,Yemek,Makarna,140.42,3,Mağaza,Bursa,421.26
2025-06-01,Tatlı,Dondurma,54.72,3,Mağaza,İzmir,164.16
2025-06-21,Tatlı,Cheesecake,106.41,3,Mağaza,İzmir,319.23
2025-06-02,İçecek,Kahve,45.31,3,Mağaza,İstanbul,135.93
2025-04-02,İçecek,Limonata,30.95,2,Mağaza,İstanbul,61.9
2025-04-24,İçecek,Çay,19.41,2,Mağaza,Ankara,38.82
2025-01-07,Atıştırmalık,Tost,54.72,3,Online,Antalya,164.16
2024-12-24,Atıştırmalık,Kurabiye,27.3,5,Mağaza,İstanbul,136.5
2025-02-07,İçecek,Soğuk Kahve,55.11,2,Mağaza,İstanbul,110.22
2025-03-26,İçecek,Kahve,47.32,3,Online,İstanbul,141.96
2025-03-08,Atıştırmalık,Sandviç,78.64,2,Online,İzmir,157.28
2025-06-16,Yemek,Burger,140.09,1,Online,Ankara,140.09
2025-07-02,Tatlı,Cheesecake,108.28,3,Online,İstanbul,324.84
2025-04-18,Tatlı,Cheesecake,107.59,2,Online,Ankara,215.18
2025-07-28,İçecek,Kahve,49.93,3,Mağaza,İzmir,149.79
2025-04-23,Yemek,Burger,140.0,5,Online,Ankara,700.0
2025-03-07,Atıştırmalık,Kurabiye,26.77,5,Mağaza,İzmir,133.85
2025-06-19,İçecek,Kahve,41.19,3,Mağaza,İzmir,123.57
2025-04-03,Yemek,Burger,146.2,3,Mağaza,İzmir,438.6
2025-06-05,Yemek,Pizza,175.77,6,Mağaza,Ankara,1054.62
2025-02-08,Yemek,Pizza,160.93,1,Mağaza,Bursa,160.93
2025-06-26,Atıştırmalık,Tost,59.62,3,Mağaza,Bursa,178.86
2025-03-03,Atıştırmalık,Muffin,32.5,4,Mağaza,İstanbul,130.0
2024-12-03,Tatlı,Cheesecake,101.67,2,Online,İstanbul,203.34
2025-04-27,Tatlı,Cheesecake,82.85,4,Online,İzmir,331.4
2025-06-05,Yemek,Burger,145.42,2,Mağaza,İstanbul,290.84
2025-05-13,Yemek,Makarna,141.43,1,Online,Bursa,141.43
2025-04-26,Atıştırmalık,Sandviç,62.29,3,Mağaza,İstanbul,186.87
2025-02-28,Tatlı,Dondurma,60.34,6,Online,Bursa,362.04
2025-06-13,Yemek,Pizza,195.07,3,Mağaza,Ankara,585.21
2025-04-26,Tatlı,Tiramisu,102.1,2,Mağaza,İzmir,204.2
2025-04-27,Tatlı,Cheesecake,85.39,5,Mağaza,İstanbul,426.95
2025-03-06,Yemek,Burger,133.15,4,Mağaza,Antalya,532.6
2025-06-17,Atıştırmalık,Sandviç,71.15,6,Mağaza,İstanbul,426.9
2025-01-21,Yemek,Salata,122.71,6,Mağaza,İstanbul,736.26
2025-07-21,Yemek,Salata,106.71,3,Mağaza,İstanbul,320.13
2025-05-10,Tatlı,Tiramisu,108.6,3,Mağaza,Antalya,325.8
2025-05-17,Yemek,Burger,130.27,2,Mağaza,Ankara,260.54
2025-04-07,Atıştırmalık,Sandviç,77.18,5,Online,İzmir,385.9
2025-01-08,Yemek,Burger,132.17,4,Mağaza,İzmir,528.68
2025-02-20,Atıştırmalık,Sandviç,77.11,5,Mağaza,Bursa,385.55
2025-03-14,Atıştırmalık,Muffin,37.19,6,Mağaza,İzmir,223.14
2025-04-08,Tatlı,Tiramisu,117.48,5,Online,Ankara,587.4
2024-12-11,İçecek,Çay,20.06,1,Mağaza,İzmir,20.06
2025-07-08,İçecek,Soğuk Kahve,57.01,1,Online,İzmir,57.01
2025-06-03,Tatlı,Dondurma,58.12,4,Mağaza,İstanbul,232.48
2025-07-05,Yemek,Burger,151.26,6,Mağaza,İstanbul,907.56
2025-05-27,Tatlı,Tiramisu,107.53,1,Mağaza,İstanbul,107.53
2025-04-30,Atıştırmalık,Kurabiye,29.62,6,Mağaza,İstanbul,177.72
2025-05-08,İçecek,Limonata,35.19,2,Mağaza,Ankara,70.38
2025-07-10,Tatlı,Cheesecake,104.46,4,Mağaza,Ankara,417.84
2025-01-11,Yemek,Makarna,136.22,6,Mağaza,Antalya,817.32
2025-03-09,Tatlı,Tiramisu,105.02,6,Online,İstanbul,630.12
2024-12-07,İçecek,Soğuk Kahve,57.81,1,Mağaza,İzmir,57.81
2025-04-23,Tatlı,Cheesecake,99.06,6,Mağaza,Ankara,594.36
2025-02-28,Tatlı,Tiramisu,124.22,2,Mağaza,İstanbul,248.44
2025-03-22,İçecek,Soğuk Kahve,60.63,1,Mağaza,Ankara,60.63
2025-08-01,Atıştırmalık,Tost,62.65,6,Mağaza,Antalya,375.9
2025-01-29,Atıştırmalık,Muffin,36.19,2,Online,İstanbul,72.38
2025-03-23,İçecek,Kahve,48.77,2,Online,Ankara,97.54
